Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	68	438	1886	01:21:07	07:05:19	06:16:25	15:05:38	1961
USA	81	440	1898	01:14:41	06:42:18	06:46:54	15:07:56	1373
USA	69	441	1900	01:28:42	07:13:47	06:11:34	15:08:43	1924
USA	69	443	1902	01:28:01	07:45:38	05:34:53	15:08:51	2015
USA	83	444	1904	01:53:34	07:18:47	05:40:20	15:09:28	1355
USA	48	445	1910	01:20:57	07:34:20	05:56:53	15:11:12	1213
USA	70	446	1912	01:38:07	07:45:56	05:35:32	15:11:47	1980
USA	71	449	1915	01:31:03	08:11:35	05:00:49	15:13:40	1957
USA	74	451	1921	01:47:40	07:29:03	05:29:35	15:16:29	1446
USA	75	452	1929	01:37:32	07:41:38	05:30:29	15:18:37	1421
USA	70	453	1932	01:16:59	08:10:19	05:27:59	15:20:01	1788
USA	76	456	1942	01:32:13	07:51:06	05:40:24	15:21:20	1388
USA	77	457	1943	01:24:10	07:43:49	06:00:35	15:21:28	1386
USA	72	459	1951	01:37:21	07:30:51	05:56:15	15:23:53	1742
USA	78	460	1952	01:44:14	07:19:19	06:03:59	15:24:06	1355
USA	10	461	1953	01:10:23	07:09:51	06:42:23	15:24:28	2369
USA	74	466	1962	01:38:26	07:29:58	05:54:52	15:25:50	1811
USA	20	467	1963	01:27:02	07:36:33	06:03:50	15:26:33	2158
USA	59	468	1966	01:39:10	08:02:59	05:27:27	15:27:46	1686
USA	75	469	1967	01:39:52	08:08:37	05:21:47	15:27:57	1786
USA	60	470	1969	01:34:04	07:12:35	06:21:23	15:29:34	1664
USA	80	471	1970	01:20:27	07:31:23	06:12:59	15:29:38	1288
USA	76	473	1975	02:07:25	07:46:25	05:14:58	15:30:41	1753
USA	86	474	1977	01:23:43	07:39:55	06:02:33	15:30:54	1097
USA	88	476	1983	01:43:04	07:23:48	06:11:31	15:33:21	1068
USA	63	480	1990	01:10:02	07:47:31	06:16:43	15:36:28	1581
USA	74	481	1991	01:26:25	07:40:31	06:03:15	15:36:39	1588
USA	22	483	1996	01:37:27	07:53:53	05:42:48	15:37:37	2025
USA	65	484	1997	01:36:13	08:07:04	05:36:12	15:38:40	1555
USA	89	485	1998	01:46:26	07:51:36	05:35:56	15:38:58	1001
USA	66	487	2001	01:22:59	07:41:46	06:25:20	15:42:34	1508
USA	77	490	2013	01:35:59	08:10:59	05:32:30	15:48:04	1544
USA	91	491	2015	01:28:29	07:32:54	06:29:55	15:49:02	1000
USA	67	492	2016	01:34:56	07:42:51	06:09:32	15:49:03	1430
USA	78	493	2019	01:49:27	07:46:05	05:50:06	15:50:54	1510
USA	23	494	2023	01:35:42	07:18:07	06:38:56	15:51:21	1860
USA	79	495	2028	01:27:42	07:58:44	06:10:14	15:53:33	1479
USA	69	497	2033	01:30:51	07:38:33	06:25:40	15:55:21	1355
USA	70	499	2055	01:25:31	07:37:38	06:29:27	16:02:53	1264
USA	82	503	2066	01:34:48	08:03:52	06:13:22	16:06:49	1319
USA	77	506	2078	01:21:18	08:46:53	05:38:49	16:11:46	1167
USA	92	507	2079	01:35:52	07:55:22	06:22:07	16:12:06	1000
USA	93	508	2080	01:34:05	08:19:49	06:02:42	16:12:14	1000
USA	71	510	2082	01:31:11	07:29:54	06:51:29	16:14:19	1127
USA	84	511	2083	01:45:54	08:14:47	05:57:17	16:15:29	1215
USA	84	512	2084	01:54:07	08:12:03	05:53:00	16:16:14	1000
USA	85	514	2086	01:32:47	08:29:11	05:55:19	16:17:29	1000
USA	50	515	2088	01:21:05	07:35:50	06:55:19	16:18:11	1000
