Name	o.rank	d.rank	g.rank	bib	age
Charlie Larsen	378	40	331	1290	25
Simon Leblanc	65	9	61	1291	25
David Lemonde	1724	113	1359	1292	NA
Sebastien Letendre	215	28	196	1293	29
Dany Malley	194	25	177	1294	26
Michael Mason	198	27	181	1295	28
Antoine Matteau	22	3	20	1296	27
Daniel Mcgee	1831	119	1421	1297	NA
Ian Mcgrew	1171	89	984	1299	29
Olivier Beauvais	DNF	NA	NA	129	44
Timothy Clarke	15	10	15	12	33
Matthew Mendonca	2220	127	1642	1300	28
Brendan Meyers	1376	99	1140	1301	28
Jovan Milosevic	1809	118	1407	1303	25
Scott Mingay	98	14	89	1304	27
Etienne Miron	481	48	421	1305	26
Kevin Moran	476	47	417	1306	27
Sandro Nuesch	881	78	765	1307	29
Pablo Orozco	1713	112	1354	1308	25
Lucas Pardew	586	57	510	1309	29
Martin Pauze	577	55	502	1310	28
Matthieu Pelard	155	21	140	1311	28
Tyler Peraino	910	80	786	1312	25
Matti Pihlainen	1228	91	1028	1313	25
Hunter Proctor	547	54	476	1314	27
Ryan Purves	402	41	353	1315	29
Matt Robertson	738	66	642	1316	28
Jonathan Rochefort	44	5	41	1317	28
Alexis M. Rodriguez	1594	108	1280	1318	28
Matthew Rolf	512	50	446	1319	25
Bryan Delgado	134	22	120	131	43
Xan Rousselle	2023	124	1529	1320	28
Dominik Rymsza	603	58	525	1321	28
Shane Scott	637	61	555	1322	27
Eliot Scymanski	147	19	132	1323	25
Samuel Sevigny	1773	115	1388	1324	26
Simon Gagnon-Brassard	92	13	83	1325	NA
Adam Smith	257	31	232	1326	29
Mitchell Smolen	436	44	385	1327	27
Derrik Sweeney	763	72	666	1329	24
Stephen Sweeney	699	63	608	1330	29
David Tanguay	1661	109	1324	1331	26
John Taska	DNF	NA	NA	1332	28
Guillaume Tessier	1368	97	1134	1333	28
David Tiede	1962	123	1493	1334	25
Sam Torney	1326	95	1107	1335	NA
Mathieu V.Rocheleau	115	16	106	1336	27
Jean-Samuel Vachon	449	45	393	1337	27
Hendrik Van Holsbeeck	517	52	451	1338	26
Mark Van Thournout	701	64	609	1339	26
Jean-Francois Veilleux	821	73	716	1340	28
Daniel Ware	1371	98	1136	1341	29
Justin Weiner	193	24	176	1342	28
Tyler Woodbury	86	12	79	1345	26
Mike Yetisir	1377	100	1141	1346	25
Jeremy Zoutman	1422	104	1175	1347	28
Ross Zuckerman	868	76	753	1348	28
Matthew Aune	1003	131	862	1349	34
Eric Perron	163	30	147	134	41
Kiley Austin-Young	DNF	NA	NA	1350	29
Mike Avery	DNF	NA	NA	1351	31
Reuben Baris	1187	141	996	1352	33
Benjamin Batson	DNF	NA	NA	1353	32
Lemuel Beauchamp	872	114	757	1354	33
Ryan Beck	638	85	556	1355	33
James Bennett	1199	144	1007	1356	31
Joe Bertha	2036	198	1535	1357	33
Julien Bertrand	798	104	695	1358	32
Guillaume Biron	724	100	630	1359	31
Sylvain Prenel	395	79	346	135	44
Francis Boucher	975	127	839	1360	33
Paul Philippe Boucher	1863	190	1437	1361	33
Jean-Baptiste Brasseur	461	65	404	1362	31
Daniel Brewer	751	102	654	1363	34
Seth Brewer	973	126	837	1364	NA
Kenny Brighton	DNF	NA	NA	1365	31
Hugues Bruneau	885	116	769	1366	29
Jordan Bryk	1965	193	1496	1367	31
Andre Bureau	229	39	210	1368	30
Kevin Bush	847	112	737	1369	31
James Schriel	144	28	129	136	40
Matt Campbell	1683	180	1336	1370	31
Christopher Cary	634	83	552	1371	33
Andrew Cashion	72	15	68	1372	30
Mike Celentano	1277	156	1069	1373	30
Jason Chapieski	845	111	736	1375	33
Mark Chiovitti	1689	183	1341	1376	30
Ross Clover	2021	197	1528	1377	31
Adam Cohen	1088	134	925	1378	31
