Name	o.rank	d.rank	g.rank	bib	age
Jonas Shoor	694	93	603	2342	46
Brian Simpson	567	76	493	2343	46
Craig Skinner	1892	256	1453	2344	47
Craig Smith	1727	238	1361	2345	45
Donald Smith	1966	269	1497	2346	46
Jeffrey Smith	DNS	NA	NA	2347	46
Philip Smith	318	36	285	2348	NA
Scott Smith	1160	168	974	2349	49
Elliot-Olivier Pellerin	46	9	43	234	29
James Snipe	936	134	803	2350	48
Tim Sorensen	DNF	NA	NA	2351	49
Rick St. Onge	1166	169	979	2352	45
John Staudenmayer	1517	213	1232	2353	46
Artur Stec	987	141	847	2354	49
Thomas Steppling	1266	185	1060	2355	47
Daniel Stewart	143	13	128	2356	46
Chris Swanson	1055	152	902	2357	46
Viktor Tadijanovic	DNF	NA	NA	2358	44
Dominic Tardif	418	54	368	2359	48
Bryan Quinlan	DNF	NA	NA	235	33
David Taylor	2066	279	1556	2360	45
John Thiry	1380	197	1144	2361	46
Mike Toomey	1540	218	1248	2362	44
Tony Toson	DNF	NA	NA	2363	48
James Trammell	1560	221	1258	2364	48
Yanick Tremblay	1042	150	893	2365	48
Eric Tuck	1216	176	1020	2366	45
Yves Turcotte	1233	178	1032	2367	45
Robert Turner	227	25	208	2368	47
Simon Unterberg	756	104	659	2369	44
Evan Rudd	95	19	86	236	30
Eric Vaillancourt	1586	224	1275	2370	45
William Valantin	1767	242	1384	2371	46
Rene Valliere	736	100	640	2372	47
Marc Vermill	1426	203	1177	2373	48
Stephane Vinet	1401	201	1159	2374	47
Tom Vogel	1183	172	993	2375	45
Jonathan Vose	1057	153	904	2376	48
Stephen Walker	1073	156	915	2377	45
Steven Warden	928	131	797	2378	47
Scott Warren	1125	162	952	2379	47
Derek Sbrogna	209	35	190	237	34
Steve Watson	1182	171	992	2380	44
Steven Wilson	2208	301	1636	2383	49
Joe Wong	2098	288	1574	2385	46
John Yen	766	108	669	2387	46
Zane Zeeh	645	87	563	2388	45
Adam Zyskowski	1370	195	1135	2389	49
Tim Smith	19	3	18	238	32
Jim Adox	990	82	850	2390	49
Dan Andrus	1416	134	1171	2391	51
Warren Angell	553	42	481	2392	53
Brad Applegate	322	19	289	2394	54
Brad Arndt	171	10	155	2395	51
Jacques Aubin	DNS	NA	NA	2396	52
Sylvain Audet	815	69	710	2397	49
Michael Auer	1744	173	1370	2398	52
Patrick Autissier	DNF	NA	NA	2399	53
Salvador Teillery	558	70	486	239	33
Freddy Bailys	1601	155	1287	2400	53
Michael Barrientos	2231	221	1648	2402	52
David Baumgart	753	60	656	2403	53
Dave Benninger	1305	119	1092	2405	50
Christian Bergeron	709	54	616	2406	54
David Berry	1878	188	1447	2407	51
John Beurling	2055	203	1546	2408	54
Van Billops	2134	210	1597	2409	50
Jonathan Amistoso	295	53	265	240	35
Marc Bochner	1178	105	989	2411	50
Gaetan Boisvert	1877	187	1446	2412	51
Antoine Bose	1092	92	927	2414	53
Francois Bouchard	1299	117	1088	2415	53
Michel Bousquet	810	68	706	2416	50
Eric Brunelle	1094	93	929	2418	50
Michaelson Buchanan	613	44	533	2419	NA
Cedric Aspirault	1195	157	1004	241	36
Greg Buckley	1984	197	1507	2420	50
David Cappello	441	29	387	2421	53
Bill Caprio	1640	159	1310	2422	50
J Richard Carlson	1406	131	1163	2423	54
Stephane Cartier	1250	114	1045	2424	51
Verni Chavarria	1819	182	1414	2426	50
Dave Clark	770	63	673	2427	54
Rob Coffey	1133	100	956	2428	52
Keith Colter	876	74	761	2429	54
Jonathan Brault	296	54	266	242	36
Denis Comeau	817	70	712	2430	50
Alex Cooper	1482	143	1212	2431	54
Brian Cooper	482	35	422	2432	53
John Corrigan	1395	130	1153	2433	53
Stephane Cote	827	71	722	2434	53
Mario Coulombe	944	79	811	2435	52
Andrew Cunningham	1799	179	1400	2438	51
Richard Daley	324	20	291	2439	50
Benoit Duchesne	2102	232	1576	243	37
Daniel Dalphond	1631	158	1304	2440	53
Pierre-Yves Daoust	1229	113	1029	2441	53
Jean-Luc Daste	478	34	419	2442	51
James David	906	77	784	2443	49
Steven David	2137	212	1599	2444	54
Steve Davidson	1522	148	1236	2445	51
Sylvain Decary	1940	195	1479	2446	51
Vincent Desmarais	2201	219	1631	2447	53
Benoit Dionne	1021	87	876	2448	51
Drew Dobson	1129	99	954	2449	49
Matt Feltham	170	26	154	244	39
Henry Doerks	667	49	581	2450	53
Gilles Doire	552	41	480	2451	51
Dave Domek	2153	214	1607	2452	50
David Dorfman	1912	191	1463	2453	50
Keith Drayer	1803	180	1403	2454	51
Bobby Dweck	1609	156	1292	2455	49
Timothy Dwyer	1776	178	1391	2456	54
Saide Eid	DNF	NA	NA	2457	49
Gil Farkash	1733	170	1364	2458	50
George Fordyce	DNS	NA	NA	2459	52
Samuel Gager	725	109	631	245	39
Patrick Fortin	1365	127	1131	2460	49
Scott Fowlds	2244	222	1657	2461	54
Michael Frothingham	1069	91	912	2463	50
Jean-Pierre Gagne	255	14	230	2464	50
Sylvain Galarneau	1462	138	1201	2465	52
Louis-Pierre Gaudreau	1621	157	1299	2467	51
Francis Germain	1931	194	1476	2468	50
John Giguere	2049	202	1543	2469	54
Simon Gareau	662	101	576	246	39
Erik Gingles	1480	142	1211	2470	51
Massimo Giusti	DNF	NA	NA	2471	52
Robert Goldstein	2253	223	1663	2473	49
Bob Goyette	DNF	NA	NA	2474	51
Pedro Gracian	1927	192	1472	2475	51
Bruce Grant	1510	147	1230	2476	54
Bob Greenberg	1327	121	1108	2477	51
Bradley Griffith	1659	162	1322	2478	53
David Grover	1118	96	945	2479	50
Alain Gilbert	364	62	319	247	36
David Gradziel	474	78	416	248	34
Taylor Kallas	1405	187	1162	249	39
Eric Limkemann	6	6	6	24	34
Robert Lehr	560	89	488	250	35
Patrick Lopes	764	110	667	251	36
Matt Mauclair	107	18	98	252	38
Eric Milot	289	51	259	253	37
Francis Picard	283	49	255	255	35
Ian Quint	67	11	63	256	36
Nicklas Safstrom	451	73	395	257	39
Matthia Schianchi	DNF	NA	NA	258	36
Dave Sek	26	1	24	259	37
Bart Stevens	300	55	270	260	38
Jason Baldwin	962	195	826	261	40
Christian Belair	82	11	76	262	41
Mark Bollozos	1655	291	1319	263	41
Colin Campbell	835	175	728	264	NA
Mike Coughlin	357	70	313	265	43
Arthur Dembro	1660	292	1323	266	43
Sion Edwards	805	169	702	267	42
Yanick Filion	427	87	376	268	41
Christopher Fornal	614	125	534	269	41
Jerome Mceniry	77	13	72	26	26
Tim Gerry	27	3	25	270	42
Matthew Han	DNF	NA	NA	271	39
Michael Hickey	341	66	301	272	43
Kenny Johnston	189	36	173	273	42
David King	941	191	808	274	43
Andre Lapierre	221	45	202	276	40
Allen Lopez	222	46	203	278	43
Emmanuel Madrigal	DNF	NA	NA	279	43
Brendan Naef	664	14	578	27	40
Jesse Marquardt	151	29	136	280	43
Lucas Murnaghan	93	13	84	281	40
John Najarian	408	81	358	282	41
Kris Nisula	73	9	69	283	40
Ben Ouellette	DNF	NA	NA	284	40
Sebastien Picard	851	177	739	285	44
Brent Pilon	448	91	392	286	43
Sebastian Sanchez	379	77	332	287	40
Christopher Schulten	102	14	93	288	44
Cedric Sellin	205	40	188	289	40
Kyle Pawlaczyk	DNF	NA	NA	28	33
Crayton Simmons	813	171	708	290	42
Karel Sumbal	20	2	19	291	39
Robert Welsford	713	144	620	292	42
Armando Armellini	1537	216	1246	293	46
Steve Armstrong	334	40	297	294	45
Danny Bernier	490	64	428	295	48
John-Patrick Hui	892	127	774	297	44
Jeff Kingsfield	1834	249	1422	298	47
John Klukach	287	32	258	299	48
Romain Guillaume	DNF	NA	NA	2	31
Stephane Lavigne	598	82	520	300	46
Philip Middleton	410	52	360	301	46
Joey Randall	588	79	512	303	46
Benjamin Riordon	61	6	58	304	45
Andrew Rosenman	858	119	744	305	47
Steven Scoleri	1562	222	1259	306	44
Yann Sellin	DNF	NA	NA	307	46
Andrew G Smith	116	11	107	308	48
Chris Starcher	DNF	NA	NA	309	45
Scott Taylor	169	19	153	310	47
Steven Thompson	933	133	801	311	45
Dwayne Wheeler	882	124	766	313	47
Boguslaw Wojewodka	125	12	114	314	45
Richard Brown	765	61	668	316	52
Daniel Curnier	1304	118	1091	318	51
Jeff David	433	28	382	319	52
Marc Dionne	564	43	491	321	52
Glen Dipalma	406	23	356	322	50
Kenneth Green	278	16	250	323	50
Doug Hahn	516	39	450	324	50
Pierre Heynemand	32	2	30	325	49
Thierry Moncada	444	30	389	327	53
Andrew Quong	1124	98	951	328	53
Stuart Simon	925	78	796	329	51
Paul Stepler	1169	103	982	330	53
Brett Titus	108	5	99	331	53
Yves Dandurand	458	11	401	332	57
Kevin Drury	1616	64	1295	333	58
Marlin Kaufman	824	26	719	334	55
Peter Kavalus	680	19	593	335	57
Richard Krajewski	390	8	341	336	56
Stephen Mackey	533	13	464	337	56
Philip Marsden	1495	57	1218	338	58
Charles Meehan	1718	69	1356	339	58
Marc Parisien	1202	48	1009	341	58
Barrett Wells	1678	67	1333	343	54
Michel Gervais	509	6	443	345	63
Mike Luebeck	1508	18	1228	346	61
Turby Wright	578	8	503	348	62
Kevin Zepp	396	5	347	349	59
John Wragg	1987	6	1508	350	66
Howard Glass	DNF	NA	NA	351	75
Barb Nesbitt	1491	26	276	354	28
Danica Petre	2071	37	512	355	26
Marie-Helene Ratel	1282	19	209	356	27
Audrey Beauchamp	DNS	NA	NA	357	33
Amanda Burchert	1066	39	156	358	30
Chandra Capen	DNS	NA	NA	359	32
Mary Beth Ellis	16	1	1	35	39
Cristy Doll	DNF	NA	NA	360	31
Erin Hammond	841	31	108	361	30
Marie-Pier Hebert	790	29	102	362	31
Jacquelyn Macgregor	649	24	83	363	32
Diana Philipova	1723	71	365	364	30
Eve Tetreault	1425	55	249	365	32
Fanny Brodeur	245	5	22	366	37
Julie Charbonneau	1212	37	196	367	39
Ann Hammer	158	3	16	368	36
Gina Koertner	DNF	NA	NA	369	37
Amanda Stevens	250	7	23	36	39
Andrea Lewis	1624	63	324	370	35
Wendy Lopez	1593	60	314	371	38
Kristin Mullally	848	28	111	372	35
Sarah Collins	1589	66	313	373	41
Katie Davis	1933	106	457	374	40
Pastora Duran Martinez	1417	47	246	375	42
Chantal Gohier	934	15	133	376	40
Stacey Keyser	1503	58	280	377	44
Erin Lewyk	1734	81	370	378	42
Kory Mcdonald	1387	46	241	379	42
Kristen Mucitelli-Heath	1477	55	268	380	40
Stephanie Parent	727	10	95	381	40
Karen Sullivan	1060	26	154	382	43
Christine Vasseur	1866	98	427	383	42
Kirsten Bell	1792	54	397	384	46
Elizabeth Gann	1894	58	440	385	NA
Darcia Kmet	1154	22	185	386	48
Leslie O'Neil	706	9	93	387	45
Kristen Pauch-Nolin	1763	48	382	388	45
Kimberly Persiani	1791	53	396	389	45
Suzanne Rinehart	242	2	21	391	45
Susan Sotir	1782	50	389	392	48
Stephanie Stonich	1610	39	318	393	46
Kimberly Tully	1986	62	479	394	49
Lynn Cunningham	833	7	107	395	50
Nathalie Daigle	DNF	NA	NA	396	51
Sheila Foley	1080	14	161	397	51
Beth Holmes	1423	25	248	398	51
Holly Quasem	2171	65	555	399	50
Laurel Wassner	21	2	2	39	40
Matt Russell	DNF	NA	NA	3	33
Kim Raymond	1548	29	296	400	49
Page Ritter-Soule	DNF	NA	NA	401	51
Lynne Ross	1181	19	190	402	53
Lois Williams	960	12	135	403	53
Frances Hardwick	1011	3	144	404	58
Linda Lafrance	1300	7	212	405	55
Rachel Lapierre	2217	29	577	406	55
Barbara Laurens	1832	20	411	407	59
Maureen Paone	DNF	NA	NA	408	55
Margaret Valair	2168	28	553	409	57
Amber Ferreira	75	4	5	40	34
Debra Weier	DNF	NA	NA	410	62
David Farias	1608	38	1291	411	21
Jean-Philippe Menard	241	4	221	413	23
Carmine (Cj) Taglienti	244	5	223	414	23
Brandon Blincoe	1245	93	1042	415	26
Mathieu Comeau	742	68	646	416	28
Sean Corrigan	511	49	445	417	26
Henri Do	1015	84	871	418	29
Thibault Galouzeau De Villepin	150	20	135	419	26
Ryan Keller	1084	85	922	420	28
Lok Shun Ko	456	46	399	421	28
Alex Wright	301	37	271	422	28
Brian Carter	963	122	827	423	30
Jesse Edelsberg	400	61	351	424	30
Jeremy Gourd	1190	143	999	425	31
Danny Houle	679	91	592	426	34
Arnaud Jouanjean	84	16	77	427	31
Josimar Madrigal	877	115	762	428	30
Colin Martin	45	8	42	429	30
Katy Cargiulo	312	9	33	42	36
Gergely Nemeth	819	108	714	430	30
Nicolas Ponce	DNS	NA	NA	431	33
Robert (Bo) Rhonehouse	715	98	622	433	31
Steven Suggs	331	50	295	434	31
Brandon Throop	608	78	528	435	30
Michael Tuttle	1058	132	905	436	30
Matt Zubrowski	967	123	831	437	33
Cesar Cramton	1951	224	1486	439	39
Matthew Daley	28	2	26	440	38
Anthony Delegato	541	86	471	441	34
Michael Denis	618	95	538	442	38
David Duarte	1755	214	1377	443	36
John Evansky	771	111	674	444	38
Keith Kennedy	DNF	NA	NA	445	37
Josh Loveless	50	8	47	446	35
Jose Macias	1518	194	1233	447	38
Rob Mclean	440	72	386	448	35
James Phillips	99	15	90	449	39
Jessica Jones	64	3	4	44	38
Allan Slagle	2056	230	1547	450	35
Tenchi So	1348	178	1121	451	35
Yan Trottier	1162	152	976	452	37
Nicolas Aubree	507	106	441	453	43
Dominique Aubry	721	146	627	454	43
Matthew Blackmore	284	60	256	455	42
Lance Bredeson	165	31	149	456	42
Patrice Denis	459	94	402	459	43
Caroline Martineau	437	10	52	45	36
Jason Dewar	495	102	432	460	39
Christian Duchesne	902	183	781	462	42
David Durocher	17	1	16	463	43
David Genest	506	105	440	466	40
Trevor Goller	1492	273	1216	467	41
Patrick Gosselin	907	185	785	468	43
Daniel Goupil	DNF	NA	NA	469	42
Caroline St-Pierre	83	6	7	46	28
Dan Gradwell	398	80	349	470	44
Simon Guthrie	263	57	237	471	41
Federico Gutierrez	983	197	845	472	43
Rogue Hale	2188	337	1623	473	42
Mark Holmstrom	DNS	NA	NA	474	43
Dean Ives	377	76	330	475	43
Danny Laviolette	693	143	602	477	NA
Alexandre Mayers	DNS	NA	NA	479	43
Amy Vantassel	260	8	26	47	40
Jerome Nolette	88	12	81	481	40
Jean-Sebastien Pilon	794	166	691	482	41
Bartlomiej Pleszewski	DNF	NA	NA	483	42
Joe Priore	912	186	787	484	40
Steven Shaw	DNF	NA	NA	486	41
Stephane St-Cyr	103	15	94	487	44
Jose Villanueva	1751	297	1375	488	41
Chris Willer	1460	268	1200	489	41
Amanda Wendorff	79	5	6	48	36
Mark Alexander	477	61	418	490	NA
Phong Bui	958	137	824	491	45
Robert Burleson	595	81	517	492	48
J.Scott Burton	887	125	771	493	46
Kevin Capasso	397	49	348	494	48
Christopher Coleman	DNS	NA	NA	495	48
Coleman Cowan	535	69	466	496	46
William Crawford	DNF	NA	NA	497	47
Erik Dellasanta	192	23	175	498	44
Marc-Andre Desjardins	820	113	715	499	45
Chris Mcdonald	8	7	8	4	38
Marc Flageole	14	2	14	500	48
Gordon Henderson	90	9	82	502	44
Kevin Hughes	51	5	48	503	46
Jaime Jofre	1434	206	1182	504	48
John Labelle	532	67	463	505	47
Anthony Long	DNF	NA	NA	506	47
Vincent Mancini	1026	145	879	507	48
Craig Mchugh	277	30	249	508	47
David Moss	1669	231	1330	509	48
Robert Ouellet	761	107	664	510	46
Michel Pawlicz	778	109	680	511	48
Alexander Pena	1323	190	1105	512	49
Dan Persaud	1172	170	985	513	48
Kevin Phillips	543	71	473	514	45
Francois Rivard	411	53	361	515	46
Frederic Rousseau	484	62	424	516	45
James Simko	540	70	470	517	46
Christian Smith	1817	247	1413	518	47
Rob Strachan	840	116	733	519	45
Dushan Veljovic	166	18	150	520	45
Patrick Billette	154	8	139	521	50
Stephan Corti	431	27	380	522	51
Jocelyn Couture	1048	89	897	523	54
Terry Curley	1475	141	1208	524	53
Sylvain Dessureault	DNF	NA	NA	525	52
Eric Fayard	1223	110	1025	526	52
Harvey Foote	668	50	582	527	51
Michael Galliani	1474	140	1207	528	50
Benoit Giroux	1201	107	1008	529	51
Paul Lafontaine	1147	102	966	530	51
Pierre Lamarche	768	62	671	531	52
Alain Landry	971	81	835	532	52
Pierre Lavoie	24	1	22	533	52
David Lee	752	59	655	534	52
Martin Lussier	1173	104	986	535	51
Paul Martin	1415	133	1170	536	51
Brian Muldowney	1366	128	1132	537	49
Jeff Nicosia	1501	146	1222	538	52
Frank Poe	299	17	269	539	51
Mario Roch	1101	94	934	540	49
John Swabey	719	57	626	541	54
Daniel Williams	1675	164	1332	542	52
Christian Ahmarani	352	7	310	543	55
Sylvain Farand	964	38	828	544	56
Andrzej Kozlowski	216	3	197	546	56
Hubert Landry	697	20	606	547	55
Tony O'Keeffe	58	1	55	548	54
Juan Carlos Sanchez	940	35	807	550	55
Bryan Sheldon	1999	85	1515	551	59
Clint Steinhoff	DNF	NA	NA	552	57
Bernard Vallee	271	5	244	553	58
Jules Gagnon	DNF	NA	NA	554	62
Chris Manore	1410	17	1167	555	59
Gordon Pauls	968	9	832	556	62
Marcel Boily	DNF	NA	NA	557	65
Js Lefebvre	DNF	NA	NA	558	46
Caroline Chartier	DNF	NA	NA	565	20
Jessica Cooper	492	2	63	566	23
Nicole Dotson	2228	11	582	567	18
Rosalie Dufresne	1947	8	464	568	22
Melyssa Fortin	1155	4	186	569	19
Anne Hamilton	2175	10	557	570	24
Morgan Mcninch	466	1	58	571	24
Shannon Mulcahy	1388	6	242	572	23
Sarah Richard	1720	7	363	574	24
Elizabeth Russ	2245	12	588	575	22
Emily Schein	1344	5	225	576	22
Anik Tavares-Dagenais	2167	9	552	577	20
Meredith Willson	DNS	NA	NA	578	23
Julie Barrie	2195	40	568	579	25
Vanessa Bedard	926	14	130	580	27
Laure Bleau-Pregent	DNF	NA	NA	581	26
Emily Brooks	1381	23	237	582	26
Andrea Butchko	924	13	129	583	25
Lisa Cancglin	1131	17	177	584	29
Desiree Cappuccio	1210	18	195	585	28
Lara Chow	691	10	91	586	26
Kim Chretien	330	4	36	587	28
Sophie Daste	605	8	79	588	25
Andrea Delgado	1814	32	404	589	29
Matthew Gentile	259	56	234	58	44
Jessica Eidinger	DNS	NA	NA	590	27
Caroline El Sanadi	1717	30	362	591	29
Holly Goodman	373	7	46	592	25
Marie-Laurence Goyette	1459	25	260	593	25
Maggie Hamilton	2174	38	556	594	28
Jessica Hanschell	1714	29	360	595	27
Brooke Hartley	1402	24	243	596	26
Katie Kurtessis	1329	21	220	598	26
Nicolas Lavoie	741	67	645	599	26
Jeanpaul Poitras	758	106	661	59	48
Paul Ambrose	5	5	5	5	32
Stephanie Lefkowitz	1905	33	444	600	28
Katherine Makrissopoulos	2192	39	566	601	24
Mallory Maynard	1653	28	335	602	29
Theresa Mellas	1777	31	386	603	29
Gretchen Neureuter	DNF	NA	NA	604	27
Mamiko Noguchi	895	12	120	605	28
Edith Pepin	128	2	13	606	29
Camille Perreault	1009	15	143	607	29
Alisha Perron	2000	36	485	608	27
Valerie Sanche	355	6	44	609	26
Paul Dauber	716	55	623	60	53
Corrine Schlabach	337	5	39	610	27
Maria Smith	1993	35	482	611	NA
Megan Sulezich	1584	27	310	612	27
Catherine Trainor	1973	34	474	613	27
Ashley Varga	1324	20	219	615	27
Amy Varner	1361	22	234	616	29
Jennifer Abbott	1899	79	442	617	32
Lindsey Acampa	345	12	41	618	31
Michael Ochstein	822	25	717	61	56
Michelle Allen	1451	56	257	620	32
Rachel Allen	1357	51	232	621	32
Lauren Anneberg	1958	82	469	622	33
Christine Appleby	1879	77	432	623	34
Patricia Arcand	551	19	72	624	34
Amanda Benoit	890	34	117	625	33
Tracy Berman	855	33	114	626	33
Adrianne Brakefield	1662	67	338	627	32
Jennifer Brodeur	446	16	56	628	32
Susannah Brouwer	1128	45	175	629	34
Stephen Redwood	675	18	588	62	58
Tara Caley	950	37	134	630	32
Evelyne Cardinal	1485	60	273	631	29
Jamie Celentano	1804	74	401	632	31
Michelle Chartrand	1095	42	166	633	31
Mylene Cloutier	2130	92	536	634	33
Shannon Coates	351	13	42	635	30
Bethany Coleman	1985	84	478	636	34
Deidre Cullen	336	10	38	638	30
Ashley Dart	1473	58	267	640	31
Edith Delorme	1790	73	395	641	32
Melissa Fortin	1288	49	211	643	33
Vanessa Foster	1967	83	470	644	30
Krista Gager	922	36	127	646	32
Kiersten Gagnon	DNF	NA	NA	647	30
Elizabeth Gallacher	2207	96	572	648	33
Alexandra Garner	731	27	96	649	30
Kandis Gibson	2140	93	540	650	34
Sarah Gilchrist	1566	63	305	651	30
Anabelle Gosselin	1695	69	351	652	34
Michelle Halde	2177	95	559	654	30
Gillian Hansen	DNS	NA	NA	655	33
Maude Hebert	1759	72	381	656	32
Katie Higginbothom	1319	50	217	657	34
Kelsey Holden	1099	43	167	659	32
Jed Vanichkachorn	347	42	306	65	47
Darci Holland	1576	64	309	660	34
Anne Hospod	DNF	NA	NA	661	33
Deanna Hudgins	1535	62	291	662	34
Julie Jenkins	DNF	NA	NA	663	33
Lyndsay King	2079	88	517	665	32
Christine Krueger	539	18	70	667	30
Laura Kuchmaner	2081	89	519	668	33
Carolyne Lemieux	1955	81	466	669	31
Mark Watt	320	64	287	66	42
Michelle Lipira	1637	66	329	670	32
Heather Low	130	2	14	671	30
Kristin Maruszewski	1907	80	446	673	31
Kathleen Materiuk	2004	85	488	674	31
Katy May	591	22	77	675	31
Tara Mcwilliams	561	20	73	679	30
John-Kelly Warren	348	22	307	67	51
Sara Meyers	1248	47	205	680	30
Angela Norcross	2105	90	527	682	33
Margaret O'Connor	566	21	74	683	30
Jennifer Pan	831	30	106	684	NA
Beth Pantzer	DNF	NA	NA	685	30
Christina Parent-Blais	DNF	NA	NA	686	30
Lindsey Parr	594	23	78	687	31
Jessica Pic	2039	87	502	688	30
Grace Pietsch	2143	94	541	689	34
John Thurrott	1091	42	926	68	54
Josie Pilon	2026	86	496	690	32
Caitlin Potratz	1383	52	238	691	31
Edith Provencher	339	11	40	692	33
Laura Pus	1885	78	435	693	33
Amanda Race	DNF	NA	NA	694	31
Daniella Racer	1851	75	422	695	31
Mylene Rioux	376	15	47	696	34
Carolyn Rohde	1603	65	315	697	30
Christelle Roy-Corbin	2210	97	574	698	31
Erica Sabatino	1287	48	210	699	30
Cinthia Sanchez Peralta	1130	46	176	700	32
Laura Sanhueza-Miller	682	25	88	701	32
Diana Santa Maria	1721	70	364	702	30
Lacey Schmidt	1465	57	264	703	30
Robin Seila	1677	68	345	704	33
Jaimie Short	2119	91	530	705	31
Allie Silverman	233	4	20	706	33
Nadia Sparrow	893	35	119	707	30
Kate Spellen	720	26	94	708	31
Beth Stephens	852	32	113	710	30
Megan Strater	329	9	35	711	32
Andrea Sweny	120	1	11	712	32
Lauren Tingwall	251	5	24	714	32
Lindsay Troilo	1025	38	147	715	33
Despina Tzemis	1871	76	430	716	30
Danielle Upshall	DNF	NA	NA	717	33
Jennifer Vaillancourt	489	17	62	718	34
Lily Wong	1413	54	245	719	32
Adam Beamer	292	44	262	71	33
Lauren Wooley	1127	44	174	720	34
Erin Wylds	1512	61	281	721	33
Kittredge Zuk	1479	59	269	722	33
Amanda Adcock	1018	31	145	723	37
Nikki Agostinelli	1956	84	467	724	NA
Ashley Aimone	785	23	99	725	35
Danielle Alderman	1914	80	450	726	39
Charlotte Alexander	1555	58	299	727	34
Annie-Claude Bergeron	606	18	80	728	38
Julie Bergeron	1731	67	368	729	37
James Dinardo	695	106	604	72	37
Lisa Boice	1232	38	201	730	35
Beth Bosiak	1164	35	187	731	36
Tiffany Brown	2203	96	571	732	37
Jennifer Butler-Cole	1998	89	484	733	35
Christina Caron	1845	74	419	734	34
Pam Chesterfield	2057	91	510	735	35
Melanie Correia	2077	92	515	736	36
Christina Cracolici	2235	98	584	737	38
Sandra Cunha	DNF	NA	NA	738	35
Gabriela Deangelo	1139	34	179	739	39
Jonathan Fecteau	1034	148	886	73	49
Nicole Delaney	1454	47	258	740	38
Annick Desrosiers	1385	45	239	741	37
Sheri Dubreuil	1797	72	399	742	37
Kelli Dunn	1622	62	323	743	36
Sherilyn Falconer	1487	52	274	744	39
Vicki Findley	1468	50	265	745	35
Natalie Fitton	1676	66	344	746	36
Jamie Fornek	1972	86	473	747	39
Hannah Fraser	273	8	28	748	34
Christine Freda	1200	36	193	749	37
Melissa French	DNF	NA	NA	750	35
Valerie Gagnon	DNS	NA	NA	751	36
Kelly Gardiner	905	30	122	752	39
Chantal Gauthier	1741	69	373	753	38
Careesa Gee	2138	94	539	754	36
Diana-Nicole Gerritsen	1321	40	218	755	38
Heather Gill	788	24	101	756	38
Erica Govan	452	13	57	757	38
Stephanie Granlund	1353	43	229	758	35
Katherine Gurd	1978	87	475	759	39
Oliver Schupp	317	35	284	75	47
Julie Halle	689	21	90	760	35
Bonnie Hart	1356	44	231	761	35
Natalie Hart	1484	51	272	762	37
Mariya Hristova	1740	68	372	763	35
Heather Hudson	1909	78	448	764	35
Erika Kallianos	1932	81	456	766	34
Maggie Kelley	252	6	25	767	38
Vicky Lahaie	528	15	69	768	34
Valerie Lalancette	584	17	76	769	39
Kopi Vogiatzis	1538	217	1247	76	46
Sara Lappano	2015	90	493	770	36
Jill Lasseter	659	19	86	772	35
Genevieve Lessard	1351	42	228	773	36
Jinny Marcotte	1938	83	460	774	39
Carly Marquardson	DNS	NA	NA	775	38
Kristi Mason	1067	32	157	776	35
Katherine May	1611	61	319	777	38
Kyle Mcclintock	1787	71	393	778	35
Jennifer Menard	1646	65	332	779	35
Peter Zippelius	225	38	206	77	37
Valerie Michalk	1545	57	295	780	37
Emma Miller	1274	39	208	781	38
Jeanne Morency	DNF	NA	NA	782	35
Debbie Morin	DQ	NA	NA	783	38
Lee Moynihan	302	9	31	784	38
Valerie Nantel	1895	77	441	785	35
Angela Nardella	1639	64	330	786	35
Mary Kate Noble	DNF	NA	NA	787	39
Lauren Oostman	1754	70	378	788	37
Marie-Andree Pedneault	1334	41	221	789	35
Gregory Miller	1024	40	878	78	56
Sarah Poplawski	891	29	118	790	38
Kelly Powers	2147	95	545	791	37
Michele Rathe	2222	97	580	792	35
Erin Reep	DNF	NA	NA	793	35
Francesca Ricci	1957	85	468	794	36
Amy Robitaille	571	16	75	795	37
Marie-Eve Royer	1456	48	259	796	NA
Jennifer Saunders	1412	46	244	798	36
Sherry Shaban	1911	79	449	799	36
Jean-Claude Fontaine	350	3	309	79	63
Paul Matthews	4	4	4	7	33
Erin Shippee	1516	55	285	800	39
Christa St. Cyr	1988	88	480	802	37
Karine St-Gelais	1533	56	290	803	35
Emilie St-Jean	1090	33	165	804	35
Nicole Stockey	747	22	97	805	35
Kelly Sullivan	1881	75	433	806	37
Ellen Tarquinio	811	25	105	807	36
Wendy Tokach	DNF	NA	NA	808	38
Renee Towne	1575	59	308	809	35
Kim Verrier	DNF	NA	NA	810	39
Josie Vitale	1936	82	459	811	36
Brianne Vogan	1461	49	261	812	36
Lindsay Waibel	1494	53	277	813	37
Ashley Weaver	2094	93	524	814	37
Sarah Weind	1514	54	283	815	39
Kelly Yeomans	438	12	53	817	36
Heather Ackerly	2006	111	489	819	39
Amy Avila	1312	41	216	820	42
Becky Azia	1431	50	251	821	42
Bonnie Bassett	2003	110	487	822	41
Elizabeth Bassett	1812	88	403	823	40
Karen Bedard	1369	44	235	824	44
Carol Bedley	1970	109	472	825	41
Tracy Belote	2165	128	551	826	42
Julie Berthiaume	1711	77	359	827	44
Xi Chen	1789	117	1395	828	25
Tiffany Birkett	1261	37	206	829	42
Julia Borgan	1887	101	437	830	40
Melanie Bourdon	1752	83	377	831	41
Agnes Bureau	DNF	NA	NA	833	40
Samantha Capobianco	1197	35	192	834	44
